name,score
PJEGA,155
Bernarda,125
Robert,120
bealora,120
ana,115
Marko,115
fran,115
Livnjak,115
Roko,110
MARTINA,110
ivana,110
Roko,110
Andrej,110
Roko,110
M,110
Mario,105
franka,105
marko,105
marija,105
ana,105
Ivana,105
Katarina,105
Dario,100
Ja,100
2+2=5,100
Roko,100
lora,100
imoćanin,100
marko,100
simon,95
Tomislav,95
nepoznata,95
Livnjak,95
marko,95
Lovro,95
paula i dora,90
Rajan,90
Robert,90
Bartol,90
zero,90
luka,90
Đurđa,90
david,90
Sara,90
Katarina,90
iris,90
nikolina,90
Fran,90
Bartol,90
matematika,90
uiohgio,90
Lobro,90
Katarina,90
bosara,90
Antonela,90
bealora,90
Matej,90
HardenMVP,85
Marin,85
Nora,85
Katarina,85
Lucija,85
2+2=5,85
marko,85
enif,85
Laura,85
marko,85
igor,85
Anja,85
dunja,85
Danijel,85
Laura,85
Ružica,85
Filip Gale,80
mbm,80
Ludilo,80
Lucija,80
Livnjak,80
Filip,80
"Tilted Duop,",80
Andrej,80
Borja,80
Stjepan,80
Klara,80
"ana ",80
Tilted Duo,80
Gaya,80
goga,80
jugorda,80
Luka i Roko,80
Ivana,80
Kristijan,80
Katarina,75
Lucija,75
Ivana,75
Sebastijan,75
Lucija,75
Đurđa,75
Katarina,75
rujana,75
Žana,75
Andrej,75
Tata,75
igor,75
Roko,75
igor,75
ana,75
Livnjak,75
imoćanin,75
bubamara,75
Antun,75
Ja,75
Lea,70
Robert,70
ana,70
Rajan,70
4247,70
" Luka i Roko",70
Sebastijan,70
Doris,70
Filip,70
Rajan,70
Fani,70
marija,70
igor,70
Team Awesome!,70
ninđe,70
emma,70
marija,70
Monika,65
ema,65
Bruna,65
vita,65
dunja,65
OBI,65
brana,65
Lucija,65
ana b,65
Lucija,65
lucija,65
marko,65
Bakii,65
fran,65
Ivana,65
marija,65
Bokiii,65
Matt,65
crvenkapica,65
BOKI,65
Fran,65
lana d,65
maris,65
LUCIJA,65
petra,65
zeljkec007,60
Marko,60
GiannisMVP,60
simon,60
lucija 2,60
marija,60
Domagoj,60
Andro,60
Franjo,60
alen,60
don_stipe,60
dunja,60
"ana ",60
ana,60
GladniSmo,60
Lea,60
Dragan,60
JOŽA,60
Boki,60
xXNuffXx,60
emma,60
LOOT LAKE MAN,60
emaa zz,60
varaždinci,60
Ana,60
Toni,60
IVAN,55
luka,55
lucija,55
Katarina,55
Danijel,55
hana56,55
Paprik,55
Bobis,55
Bobis,55
Nora,55
"nera ",55
fran,55
Filip,55
dunja,55
petrodaktil,55
Petra,55
žana,55
juan,55
marko,55
bj,55
Nika,55
Tsubaki,55
marija,50
fran,50
petra,50
Domagoj,50
Andrej,50
Leona,50
maja ialana,50
iva,50
Matija,50
Bokiii,50
aerbg,50
LIMES FUNKCIJE,50
iva,50
Andrej,50
beta,45
Lucija,45
juan,45
Rajan,45
lana d,45
iva,45
lucija 2,45
VodaJeZiva,45
Mouž,45
Blaženka,45
nikolina,45
Matt,45
Đurđa,45
jurke,45
Veronika,45
nikola,40
lana,40
Mužžžži,40
đon sina,40
nora,40
kovu,40
MATIJA,40
ana,40
nika,40
brzi95,40
Paprik,40
Harden13MVP,40
Marjia,40
Mirko,40
Lucia,40
nadin,40
elizabeta,35
Bruna,35
Paprik,35
nina,35
marko,35
Lobro,35
karlo i Viktor,35
branimir,35
Gloria,35
nikam,35
david,35
"Karlo ",30
juan,30
nika g,30
Ivana,30
fran,30
LIMES FUNKCIJE,30
Karlo i Ruđer,30
Mata,30
Filip,30
paula,30
tina,30
JOžicapožica,30
Stjepan,30
Marin,25
KamenJeZivoBice,25
Domagoj,25
mbm,25
marko,25
seal_seal,25
Antonija,25
Karlo Bošković,20
Karlo,20
Bobis,10
"nera ",5
branimir,0
,0
Mata,0
Ana,0
